id,skills,education,experience_years,role
1893,"blockchain, data_viz, spring",Bachelors,13,Blockchain Developer
1894,"gitlab, microservices, ruby, testing",PhD,10,Software Developer
1895,"cypress, deep_learning, docker, go, junit, nosql, r, swift",Bachelors,4,DevOps Engineer
1896,"angular, devops, jira, nlp, r, scikit_learn",Bachelors,7,Product Manager
1897,"devops, illustrator, typescript",Bachelors,7,Frontend Developer
1898,"communication, javascript, jira, kotlin, problem_solving",Bachelors,8,Product Manager
1899,"apache_spark, jenkins, kafka, postgresql, public_speaking, pytest",Masters,5,Backend Developer
1900,"flask, project_management, public_speaking",Bachelors,12,Product Manager
1901,"postgresql, powerbi, r, rabbitmq",Bachelors,8,Data Analyst
1902,"data_viz, gitlab, hadoop",Bootcamp,13,DevOps Engineer
1903,"apache, linux, machine_learning, postgresql",Masters,8,Cloud Engineer
1904,"gcp, html, mysql, ui_design",Masters,0,Cloud Engineer
1905,"cpp, linux, terraform",PhD,6,DevOps Engineer
1906,"azure, data_analysis, junit, problem_solving, selenium, tensorflow, vue",Bachelors,8,QA Engineer
1907,"cybersecurity, ethereum, firebase, illustrator, kotlin, nlp, selenium, sketch",Masters,12,Blockchain Developer
1908,"deep_learning, nginx, r, testing, typescript, ui_design",PhD,9,Frontend Developer
1909,"kubernetes, pytorch, react",PhD,5,Machine Learning Engineer
1910,"cpp, supabase, ux_research",Masters,8,UX/UI Designer
1911,"data_analysis, excel, javascript, nlp, php, ux_research",Bootcamp,1,Data Analyst
1912,"bash, data_viz, gcp, ruby, terraform",Bootcamp,0,DevOps Engineer
1913,"networking, spring, supabase",PhD,12,Backend Developer
1914,"angular, communication, express, gcp, github_actions, kubernetes, sql",Bootcamp,4,DevOps Engineer
1915,"aws, cicd, dotnet, hadoop, pytest, pytorch",Bachelors,13,Full Stack Developer
1916,"apache, excel, jira, solidity",PhD,0,Blockchain Developer
1917,"ethereum, github_actions, hadoop, rabbitmq, typescript",Bachelors,15,Frontend Developer
1918,"firebase, go, pytest, solidity, supabase, tableau, websockets",Bootcamp,4,QA Engineer
1919,"deep_learning, git, kafka, pytorch, redis",Masters,1,Data Scientist
1920,"apache, communication, pytest",Masters,8,Technical Writer
1921,"java, networking, powershell, rails, testing, ui_design, websockets",Bachelors,0,Cybersecurity Analyst
1922,"agile, nlp, pandas, rust, tensorflow, terraform, typescript",Masters,1,Data Scientist
1923,"cicd, hadoop, jenkins, jira, rails, react, statistics",Bachelors,0,Software Developer
1924,"computer_vision, deep_learning, excel, go, microservices, ruby, sketch",Bootcamp,7,Data Scientist
1925,"excel, laravel, nginx, powershell, rails, solidity, tableau",PhD,6,Data Analyst
1926,"css, express, javascript, kafka, nosql, rest_apis, selenium, sketch",Bachelors,14,Backend Developer
1927,"scala, spring, sql",Bootcamp,0,Backend Developer
1928,"apache_spark, bash, devops, grpc",Bootcamp,13,DevOps Engineer
1929,"cicd, cpp, cybersecurity, jenkins, microservices, nginx, project_management, tensorflow",Masters,15,DevOps Engineer
1930,"cpp, hadoop, python",Bachelors,5,Backend Developer
1931,"apache, cicd, nlp, powershell, sketch",Bachelors,10,DevOps Engineer
1932,"mongodb, nodejs, scikit_learn",PhD,8,Full Stack Developer
1933,"css, gcp, grpc, nginx, nosql, sketch",Bachelors,7,UX/UI Designer
1934,"data_viz, leadership, project_management, rest_apis",PhD,12,Project Manager
1935,"azure, firebase, microservices, networking",Bachelors,11,Cybersecurity Analyst
1936,"git, kafka, leadership, linux, r, statistics",Masters,9,Cloud Engineer
1937,"flask, html, pandas, sketch",Bootcamp,1,Data Scientist
1938,"css, gitlab, networking, nlp, pytorch, redis, rest_apis",Bootcamp,0,Backend Developer
1939,"flask, gitlab, grpc, machine_learning, tableau, terraform",Bachelors,10,DevOps Engineer
1940,"css, ethereum, gcp, hadoop, react, tensorflow, typescript, ui_design",Bootcamp,1,Frontend Developer
1941,"bash, devops, dotnet, kubernetes, selenium, spring, testing",Bachelors,2,Backend Developer
1942,"ethereum, excel, flask, nosql, python, r",Masters,5,Data Analyst
1943,"cypress, gcp, java, javascript, laravel, nosql, swift, ui_design",Masters,9,Frontend Developer
1944,"agile, cybersecurity, deep_learning, devops, kafka, r",Bootcamp,4,Backend Developer
1945,"bash, cicd, computer_vision, cybersecurity, data_viz, nosql, pytest, tensorflow",Bachelors,9,Data Scientist
1946,"data_viz, deep_learning, excel, firebase, powerbi, solidity, ux_research",Bachelors,9,Data Scientist
1947,"apache, devops, ethereum, grpc, kotlin, microservices, react, tableau",Bachelors,5,Blockchain Developer
1948,"apache_spark, css, html, java, junit, nginx, project_management, websockets",Bachelors,2,Frontend Developer
1949,"docker, flask, jenkins, leadership, mongodb_atlas",Masters,1,DevOps Engineer
1950,"data_analysis, illustrator, laravel, mysql, project_management, rabbitmq, scala",Bootcamp,10,Database Administrator
1951,"agile, computer_vision, cpp, html, nginx, sketch, swift, ux_research",Bachelors,2,UX/UI Designer
1952,"bash, github_actions, machine_learning, numpy, terraform",Bootcamp,14,DevOps Engineer
1953,"aws, express, github_actions, gitlab, react",PhD,8,DevOps Engineer
1954,"gcp, gitlab, hadoop, jira, leadership, php, tableau",Bootcamp,9,Product Manager
1955,"blockchain, data_viz, jira, leadership, project_management, react, scala",Bachelors,10,Project Manager
1956,"cypress, data_viz, flask, graphql, machine_learning, postgresql, supabase",Bachelors,3,Data Scientist
1957,"agile, excel, kotlin, microservices, nosql, pandas",Masters,4,Data Analyst
1958,"azure, cybersecurity, javascript, jenkins, leadership, nginx, powershell, rabbitmq",Bachelors,0,Cybersecurity Analyst
1959,"docker, networking, tableau, testing",Bachelors,4,Cloud Engineer
1960,"bash, gcp, graphql, project_management, rest_apis, selenium, sketch",Masters,8,Solutions Architect
1961,"agile, cypress, deep_learning, gitlab, nosql, problem_solving, python, ui_design",Bachelors,3,Data Scientist
1962,"computer_vision, css, cypress, docker, sketch",Bachelors,5,Frontend Developer
1963,"csharp, jira, mongodb, powershell",PhD,5,Database Administrator
1964,"agile, devops, machine_learning, nlp, postgresql, ux_research",Bachelors,15,Data Scientist
1965,"bash, go, technical_writing",PhD,14,Technical Writer
1966,"agile, deep_learning, gcp, kubernetes, powerbi, project_management, scala, sql",PhD,14,DevOps Engineer
1967,"data_viz, git, graphql, illustrator, jenkins, ruby, solidity",Masters,1,Backend Developer
1968,"flask, machine_learning, pandas, vue",Bachelors,1,Data Scientist
1969,"linux, mysql, php, rabbitmq, sql, terraform",Bootcamp,0,Cloud Engineer
1970,"cicd, kotlin, numpy, python, rust, scala, selenium, sql",Bootcamp,9,Full Stack Developer
1971,"devops, jira, pandas, public_speaking",Bootcamp,6,Data Analyst
1972,"computer_vision, scikit_learn, ui_design",Bachelors,3,UX/UI Designer
1973,"figma, github_actions, html",Bachelors,4,DevOps Engineer
1974,"cypress, firebase, nosql, python, testing, websockets",PhD,3,Frontend Developer
1975,"mongodb_atlas, networking, nginx",Bachelors,14,Cloud Engineer
1976,"angular, gitlab, kotlin, laravel, linux, microservices",Bachelors,9,DevOps Engineer
1977,"blockchain, css, data_viz, deep_learning, mysql, sql, supabase",Bootcamp,10,Data Scientist
1978,"bash, java, microservices, pandas, technical_writing, ui_design",PhD,7,Backend Developer
1979,"angular, data_analysis, nlp, python, swift",Bootcamp,4,Data Scientist
1980,"cpp, css, flask, github_actions, go, hadoop, illustrator, rust",Masters,10,Frontend Developer
1981,"hadoop, project_management, scala, websockets",Bachelors,1,Project Manager
1982,"python, r, rabbitmq, redis, swift, websockets",Bachelors,10,Backend Developer
1983,"computer_vision, jira, machine_learning, mongodb_atlas, nginx, problem_solving, pytorch, tableau",Bootcamp,4,Data Scientist
1984,"kubernetes, mongodb, react, spring",Bachelors,0,Backend Developer
1985,"apache, computer_vision, data_analysis, django, hadoop, jira, rust",Bachelors,1,Product Manager
1986,"data_analysis, jira, linux, pytest, pytorch",Masters,0,DevOps Engineer
1987,"apache, elasticsearch, leadership, numpy, tableau, ux_research",PhD,12,Data Scientist
1988,"aws, firebase, websockets",Bachelors,10,Systems Administrator
1989,"aws, rabbitmq, react",Bachelors,11,Full Stack Developer
1990,"agile, apache, cybersecurity, express, git, mysql, project_management, sql",Bootcamp,3,Backend Developer
1991,"communication, cybersecurity, jira, kotlin, solidity, technical_writing, vue",Bootcamp,10,Product Manager
1992,"computer_vision, cybersecurity, html, leadership, numpy, ruby",Bootcamp,9,Data Scientist
1993,"django, pytorch, rails, selenium, supabase",Masters,0,Machine Learning Engineer
1994,"angular, blockchain, cpp, css, nginx, rabbitmq, redis",Bachelors,15,Frontend Developer
1995,"flask, github_actions, jira, kafka, kubernetes, solidity",PhD,9,Backend Developer
1996,"azure, express, illustrator, javascript, kotlin",Bachelors,11,Solutions Architect
1997,"docker, python, pytorch, redis, ux_research",Bachelors,0,Machine Learning Engineer
1998,"illustrator, pandas, typescript",Bachelors,15,Frontend Developer
1999,"cpp, elasticsearch, postgresql, solidity, typescript",Bootcamp,11,Blockchain Developer
2000,"css, devops, excel, kubernetes, problem_solving",PhD,6,Data Analyst
2001,"csharp, illustrator, jira, leadership, php, scikit_learn",Bootcamp,12,Project Manager
2002,"dotnet, gcp, linux, scala, statistics, tableau",Bootcamp,15,DevOps Engineer
2003,"microservices, tableau, testing",Bootcamp,4,QA Engineer
2004,"networking, statistics, swift",Bootcamp,0,Data Analyst
2005,"angular, cpp, jira, microservices, networking, nlp, technical_writing, testing",Bachelors,14,Frontend Developer
2006,"mongodb, problem_solving, project_management, technical_writing",PhD,10,Product Manager
2007,"cpp, devops, grpc, postgresql, rabbitmq, ux_research",Bootcamp,15,Solutions Architect
2008,"communication, css, cybersecurity, figma, javascript, pandas, selenium, tableau",Bootcamp,4,Data Analyst
2009,"cypress, express, javascript, pandas, photoshop, public_speaking, scala",Bachelors,8,Frontend Developer
2010,"css, django, ethereum, hadoop, mongodb, react, vue",Bootcamp,8,Frontend Developer
2011,"excel, laravel, powershell, solidity, terraform",Bachelors,6,Data Analyst
2012,"azure, firebase, flask, go, mysql, problem_solving",Masters,14,DevOps Engineer
2013,"flask, git, grpc, spring",Bootcamp,1,Backend Developer
2014,"figma, gcp, illustrator, pandas, redis, selenium",Bachelors,14,Data Analyst
2015,"cpp, deep_learning, kubernetes, rails, rest_apis, sql",PhD,4,Backend Developer
2016,"apache_spark, firebase, java, python",PhD,14,Software Developer
2017,"agile, deep_learning, flask, kafka, nginx, public_speaking, redis, scala",PhD,7,Backend Developer
2018,"agile, csharp, express, illustrator, r, scikit_learn, selenium, solidity",Masters,8,Project Manager
2019,"gcp, nosql, php, selenium, ui_design",PhD,5,Cloud Engineer
2020,"bash, deep_learning, hadoop, html, kafka, sql",Bachelors,8,DevOps Engineer
2021,"powershell, rabbitmq, scikit_learn, terraform, typescript, vue",Masters,15,Frontend Developer
2022,"github_actions, javascript, leadership, pytorch",Bachelors,1,Project Manager
2023,"angular, firebase, gitlab, rust",Masters,14,Cloud Engineer
2024,"jenkins, statistics, typescript",PhD,0,Data Scientist
2025,"cicd, leadership, microservices, php, testing, typescript, ux_research",Bachelors,4,Backend Developer
2026,"angular, apache_spark, docker, graphql, kubernetes, selenium, spring",Masters,14,Backend Developer
2027,"css, express, graphql, r, typescript, ux_research, vue",Masters,2,Frontend Developer
2028,"apache, azure, photoshop, python, redis, supabase, websockets",Masters,15,Data Scientist
2029,"computer_vision, linux, postgresql, technical_writing",Bachelors,4,Technical Writer
2030,"computer_vision, data_viz, laravel, powerbi, technical_writing",Masters,5,Data Scientist
2031,"apache, gcp, java, microservices, pytest, pytorch, sql",Bootcamp,10,Backend Developer
2032,"csharp, elasticsearch, pandas, php, postgresql, powershell, spring, ui_design",Bootcamp,14,Database Administrator
2033,"csharp, data_viz, php, selenium",Bachelors,2,QA Engineer
2034,"cpp, cybersecurity, data_analysis, nginx, photoshop, websockets",Bachelors,10,Robotics Engineer
2035,"apache, cypress, ethereum, grpc, jenkins, linux, selenium, vue",Bachelors,2,QA Engineer
2036,"deep_learning, excel, mongodb, redis, rust, typescript, ui_design",Masters,7,Database Administrator
2037,"aws, blockchain, jira, kotlin",Bootcamp,2,Product Manager
2038,"cpp, express, javascript",Masters,9,Software Developer
2039,"communication, powershell, rust, swift",Bootcamp,1,Cybersecurity Analyst
2040,"cpp, hadoop, nlp, powerbi, problem_solving, sql",Bachelors,5,Data Analyst
2041,"docker, graphql, ruby",Bachelors,5,Backend Developer
2042,"django, kubernetes, machine_learning, numpy, photoshop, project_management, rabbitmq",Bachelors,15,Data Scientist
2043,"linux, photoshop, public_speaking",Bootcamp,3,UX/UI Designer
2044,"csharp, docker, numpy",Masters,14,DevOps Engineer
2045,"bash, javascript, tensorflow",Bachelors,10,DevOps Engineer
2046,"cybersecurity, machine_learning, nlp",Bootcamp,4,Data Scientist
2047,"data_viz, express, rust, technical_writing, terraform",Bachelors,5,Technical Writer
2048,"django, jira, microservices",Bachelors,12,Backend Developer
2049,"deep_learning, ethereum, github_actions, junit, kubernetes, scikit_learn, testing",Bachelors,8,QA Engineer
2050,"angular, communication, kotlin, react",Bachelors,12,Frontend Developer
2051,"django, graphql, linux, mysql, php, problem_solving, spring, tensorflow",Masters,2,Backend Developer
2052,"apache_spark, cicd, cybersecurity, cypress, graphql",Bachelors,0,Full Stack Developer
2053,"bash, nginx, r, scikit_learn, swift",Bachelors,0,DevOps Engineer
2054,"angular, data_analysis, firebase",Masters,2,Data Analyst
2055,"elasticsearch, excel, firebase, jira, python, swift, terraform",Bootcamp,13,Cloud Engineer
2056,"express, laravel, mongodb_atlas, postgresql, powerbi, project_management, rust, swift",Bootcamp,3,Data Analyst
2057,"kubernetes, powershell, r, redis",Bachelors,6,Cybersecurity Analyst
2058,"cypress, kafka, kotlin, kubernetes, sql, vue",Masters,12,Backend Developer
2059,"cypress, data_viz, go, mongodb, problem_solving, python, r, tableau",Bachelors,8,Data Scientist
2060,"apache, graphql, javascript, nodejs, scala",Masters,6,Backend Developer
2061,"flask, git, html, project_management",Masters,5,Frontend Developer
2062,"cpp, csharp, cybersecurity, django, firebase, java, jenkins, redis",Bachelors,6,Backend Developer
2063,"firebase, grpc, linux, photoshop, tensorflow, terraform",Bootcamp,12,Cloud Engineer
2064,"data_analysis, pandas, scikit_learn",Bootcamp,13,Data Analyst
2065,"azure, microservices, networking, powershell, scikit_learn",Masters,3,Cybersecurity Analyst
2066,"django, elasticsearch, kafka, pytest, redis",Masters,6,Backend Developer
2067,"apache_spark, css, deep_learning, r, redis, sketch, ui_design",PhD,14,UX/UI Designer
2068,"mongodb, php, python, statistics",Bootcamp,8,Data Scientist
2069,"agile, jira, php",Bachelors,6,Project Manager
2070,"bash, devops, dotnet, go, sql, statistics, supabase, typescript",Bachelors,5,Data Analyst
2071,"blockchain, git, go, project_management, r, spring",Bachelors,8,Project Manager
2072,"graphql, grpc, photoshop, pytest, scikit_learn, solidity, swift",PhD,6,Full Stack Developer
2073,"kotlin, public_speaking, pytest, rails, sql, testing",Masters,11,QA Engineer
2074,"apache, cpp, data_viz, grpc, nosql, tableau",Masters,12,Database Administrator
2075,"apache, deep_learning, illustrator",Bootcamp,4,Data Scientist
2076,"laravel, linux, numpy",Bootcamp,5,Systems Administrator
2077,"networking, pytest, terraform",Bachelors,4,Cloud Engineer
2078,"express, java, php, powerbi, redis, spring, typescript",Bachelors,4,Backend Developer
2079,"cypress, devops, dotnet, flask, java, kotlin",Bootcamp,10,Backend Developer
2080,"grpc, java, networking, ruby, scala, scikit_learn, sql",Masters,2,Backend Developer
2081,"html, rest_apis, spring",Bachelors,4,Backend Developer
2082,"communication, kotlin, microservices, terraform, ux_research",PhD,9,Project Manager
2083,"ethereum, supabase, typescript",Bootcamp,15,Blockchain Developer
2084,"angular, cicd, cybersecurity, powerbi, pytest, rabbitmq",Bachelors,3,Software Developer
2085,"devops, github_actions, gitlab, html, nosql, numpy",Bachelors,1,DevOps Engineer
2086,"express, javascript, junit, powerbi, rest_apis",Masters,10,Backend Developer
2087,"git, nlp, nodejs, postgresql, react, tableau, typescript",Bootcamp,4,Frontend Developer
2088,"bash, ethereum, excel, firebase, gitlab",Bootcamp,4,DevOps Engineer
2089,"csharp, firebase, pytest, solidity, supabase",Bachelors,5,Blockchain Developer
2090,"cybersecurity, java, javascript, pytest",Bachelors,1,Software Developer
2091,"aws, cpp, firebase",Bachelors,6,Robotics Engineer
2092,"deep_learning, flask, machine_learning, r",Bootcamp,10,Data Scientist
2093,"cpp, csharp, cybersecurity, linux, pytest, spring, swift",Bootcamp,9,Cybersecurity Analyst
2094,"elasticsearch, postgresql, pytest, pytorch, ruby, terraform, websockets",Bachelors,0,Data Scientist
2095,"mongodb_atlas, nginx, powershell, spring, vue",Bootcamp,3,Systems Administrator
2096,"figma, flask, kotlin, networking, php, public_speaking, python, sql",Bachelors,4,Backend Developer
2097,"cybersecurity, cypress, junit, mysql",Bachelors,13,QA Engineer
2098,"communication, illustrator, nginx, project_management",Bachelors,1,Project Manager
2099,"apache, dotnet, firebase, rails",Bachelors,2,Technical Writer
2100,"apache, kubernetes, mysql, networking, nodejs, php, project_management",Bootcamp,11,Backend Developer
2101,"devops, ethereum, rust, sql, statistics, supabase",Bachelors,11,Data Analyst
2102,"bash, blockchain, figma, jira, problem_solving, redis",Bootcamp,0,Product Manager
2103,"css, leadership, problem_solving, scikit_learn, selenium",Masters,0,Product Manager
2104,"azure, communication, django, express, hadoop, jira, sketch",Masters,5,Full Stack Developer
2105,"express, kotlin, mongodb_atlas, rest_apis, rust, tableau",Bachelors,12,Data Analyst
2106,"postgresql, r, rabbitmq, statistics, tableau, technical_writing, ux_research",Bachelors,11,Database Administrator
2107,"angular, flask, grpc, photoshop, ruby, scala",Masters,0,Frontend Developer
2108,"excel, kubernetes, photoshop",Bachelors,12,Data Analyst
2109,"data_viz, firebase, networking, supabase",Bachelors,4,Cybersecurity Analyst
2110,"computer_vision, java, microservices, mongodb, networking, python, ux_research",Bachelors,12,Backend Developer
2111,"computer_vision, github_actions, kotlin, numpy, rabbitmq, swift",Masters,2,Data Scientist
2112,"agile, devops, laravel, leadership, machine_learning, pandas",Bachelors,4,Data Scientist
2113,"computer_vision, laravel, nginx, numpy, sql, statistics, ux_research",Masters,9,Data Scientist
2114,"css, django, postgresql, websockets",Bachelors,12,Full Stack Developer
2115,"aws, bash, git, html, kafka",Bootcamp,3,Systems Administrator
2116,"java, kafka, nodejs, pandas, r",Bootcamp,3,Backend Developer
2117,"data_viz, flask, go, laravel, scala, selenium, sketch, solidity",Bachelors,6,QA Engineer
2118,"agile, angular, communication, excel, go, laravel, networking, spring",Masters,8,Data Analyst
2119,"csharp, express, java, mysql",Masters,7,Backend Developer
2120,"elasticsearch, gitlab, rabbitmq, swift",Masters,1,DevOps Engineer
2121,"azure, excel, nosql, pytorch, testing",Masters,4,DevOps Engineer
2122,"cpp, grpc, nodejs, sketch",Bachelors,3,Robotics Engineer
2123,"apache_spark, firebase, git, hadoop, mysql, powerbi, pytest",Bootcamp,13,QA Engineer
2124,"bash, gitlab, html, nosql, project_management, scala, technical_writing",Bootcamp,5,DevOps Engineer
2125,"cypress, ethereum, github_actions, illustrator",Bachelors,15,DevOps Engineer
2126,"agile, docker, figma, jira, junit, photoshop, selenium",Masters,14,Project Manager
2127,"git, go, grpc, kotlin, pytest, vue",Bootcamp,7,Frontend Developer
2128,"powershell, problem_solving, rabbitmq, testing",Bootcamp,9,Systems Administrator
2129,"apache_spark, javascript, kafka, pytorch, rabbitmq, ruby",Bootcamp,5,Software Developer
2130,"docker, html, java, javascript, ruby, scala, technical_writing, terraform",Bachelors,11,Software Developer
2131,"ethereum, grpc, kubernetes, leadership, pandas, sketch",Bachelors,1,Solutions Architect
2132,"azure, computer_vision, elasticsearch, html, mongodb, photoshop, rabbitmq, spring",Bachelors,15,DevOps Engineer
2133,"graphql, html, rails, redis",PhD,13,Backend Developer
2134,"css, data_viz, ethereum, junit, powershell, swift, tensorflow",Bootcamp,13,Machine Learning Engineer
2135,"data_viz, redis, ruby, scikit_learn, tensorflow",Masters,7,Data Scientist
2136,"angular, computer_vision, firebase, jenkins, rest_apis, technical_writing",Bachelors,14,Solutions Architect
2137,"cicd, docker, grpc, jira, ruby, solidity, ux_research",Bootcamp,14,Full Stack Developer
2138,"bash, pytorch, scikit_learn",Bachelors,4,Machine Learning Engineer
2139,"redis, solidity, supabase",Bachelors,13,Blockchain Developer
2140,"cypress, elasticsearch, figma, powershell",PhD,2,Cybersecurity Analyst
2141,"html, illustrator, junit, rails, websockets",Bachelors,3,QA Engineer
2142,"apache_spark, aws, communication, cypress, machine_learning, problem_solving, rest_apis, sql",Bachelors,8,Product Manager
2143,"firebase, php, scala, scikit_learn, tableau",Bootcamp,9,Data Analyst
2144,"apache, computer_vision, excel, illustrator, javascript, kubernetes, selenium, spring",Bachelors,8,Backend Developer
2145,"cypress, data_viz, devops, kubernetes",PhD,15,Backend Developer
2146,"bash, blockchain, data_viz, javascript, junit, mongodb, swift, vue",Bachelors,15,Systems Administrator
2147,"public_speaking, pytest, swift",Bootcamp,3,Product Manager
2148,"angular, data_analysis, photoshop, sketch, tableau, technical_writing",Masters,1,UX/UI Designer
2149,"computer_vision, devops, tableau",Masters,8,Data Analyst
2150,"bash, cpp, graphql, hadoop, scala, typescript",Bachelors,11,Robotics Engineer
2151,"apache_spark, excel, jenkins, networking, photoshop, rest_apis, sql, terraform",PhD,3,Cloud Engineer
2152,"mysql, nosql, pytorch, sketch, swift, tableau",Bootcamp,4,Database Administrator
2153,"php, selenium, tensorflow",Bachelors,0,Data Scientist
2154,"cicd, docker, express, jenkins, kafka, nlp, sql, terraform",Bootcamp,3,Backend Developer
2155,"devops, elasticsearch, grpc, linux, python, statistics",Bootcamp,8,Software Developer
2156,"csharp, devops, kotlin, project_management",PhD,11,Project Manager
2157,"angular, aws, figma, html, illustrator, jira, nginx",Masters,5,Frontend Developer
2158,"kafka, kubernetes, linux, nosql, ui_design",Bachelors,9,Backend Developer
2159,"aws, kafka, nodejs, powershell, redis, rust",PhD,2,Backend Developer
2160,"angular, blockchain, go, mysql, powerbi, rest_apis, spring, swift",Bootcamp,7,Backend Developer
2161,"agile, dotnet, git, laravel, nosql, php, pytest, technical_writing",Bootcamp,7,Software Developer
2162,"computer_vision, ethereum, grpc, javascript, mongodb_atlas, pandas, ui_design",Bachelors,2,Blockchain Developer
2163,"illustrator, nginx, nosql, statistics",Bachelors,3,Database Administrator
2164,"ethereum, excel, gcp, python, r, testing",Bachelors,14,Software Developer
2165,"deep_learning, flask, gcp, mongodb, pytest, vue",Masters,11,DevOps Engineer
2166,"apache_spark, docker, javascript, nginx, pytorch, ruby, sketch, sql",Bootcamp,10,Machine Learning Engineer
2167,"azure, nlp, nosql, numpy",Masters,11,Data Scientist
2168,"dotnet, flask, vue",Bootcamp,15,Frontend Developer
2169,"cypress, grpc, websockets",Bachelors,9,Frontend Developer
2170,"data_analysis, scikit_learn, testing",Bachelors,11,Software Developer
2171,"css, ethereum, excel, illustrator, linux, networking",Masters,11,Systems Administrator
2172,"cpp, graphql, jenkins, kubernetes, microservices, networking, ruby, websockets",Masters,7,Solutions Architect
2173,"firebase, kotlin, microservices, mysql, technical_writing",Bootcamp,10,Database Administrator
2174,"csharp, django, laravel, postgresql, rails, ui_design",Bootcamp,7,Backend Developer
2175,"azure, ethereum, pandas, python, r, redis, statistics, tensorflow",Masters,9,Data Scientist
2176,"bash, pytorch, terraform",Bachelors,9,DevOps Engineer
2177,"communication, csharp, pandas, pytorch, rust, sketch",Bachelors,12,UX/UI Designer
2178,"cypress, laravel, python, pytorch, tableau",Bachelors,2,Data Scientist
2179,"css, rest_apis, tableau, typescript, ui_design",Bachelors,7,Software Developer
2180,"cpp, express, nginx, rabbitmq, redis, statistics",Bachelors,3,Backend Developer
2181,"azure, data_analysis, kubernetes, rails, scala",Bachelors,6,DevOps Engineer
2182,"git, microservices, project_management, rabbitmq",Masters,8,Backend Developer
2183,"apache, cypress, figma, grpc, numpy, rust",Bachelors,12,Frontend Developer
2184,"csharp, flask, nosql, redis, scala, terraform, typescript",Bachelors,10,Database Administrator
2185,"agile, apache, aws, cpp, excel, vue",PhD,0,Full Stack Developer
2186,"excel, microservices, mongodb_atlas",Bootcamp,2,Data Analyst
2187,"angular, cpp, figma, graphql, kubernetes, postgresql, supabase, technical_writing",PhD,7,Backend Developer
2188,"agile, csharp, deep_learning, docker, javascript, numpy, redis, testing",Masters,12,Software Developer
2189,"html, pytorch, terraform",Masters,11,Data Scientist
2190,"azure, deep_learning, graphql, linux, postgresql, redis",Masters,0,Database Administrator
2191,"javascript, laravel, public_speaking, react",Masters,8,Frontend Developer
2192,"elasticsearch, laravel, mongodb_atlas, photoshop, redis, ruby, rust, solidity",Bachelors,4,Backend Developer
2193,"bash, jenkins, kotlin, networking, public_speaking, ux_research",Bachelors,9,Systems Administrator
2194,"aws, express, kubernetes, pytorch, rest_apis, solidity",Bachelors,13,Solutions Architect
2195,"csharp, cypress, react, solidity, spring, websockets",Bootcamp,15,Backend Developer
2196,"rest_apis, rust, vue",Masters,14,Solutions Architect
2197,"cicd, deep_learning, excel, junit, kotlin, mongodb_atlas",Bootcamp,4,Data Scientist
2198,"cicd, docker, git, kafka, nodejs, public_speaking, r",Bachelors,12,Backend Developer
2199,"csharp, illustrator, nlp, rabbitmq, scala, selenium, sketch, ui_design",Bachelors,1,UX/UI Designer
2200,"agile, git, junit, microservices, nosql, pytest, selenium, tableau",Bachelors,3,QA Engineer
2201,"apache_spark, cypress, kotlin, networking, swift, technical_writing, tensorflow",PhD,9,Cloud Engineer
2202,"devops, hadoop, nodejs, pytorch",Bachelors,14,Data Scientist
2203,"apache_spark, cpp, nodejs, pytest, sketch, sql, vue",Masters,11,Full Stack Developer
2204,"angular, mongodb, nginx, powerbi",Masters,6,Frontend Developer
2205,"devops, nginx, pandas",Masters,0,Data Scientist
2206,"azure, excel, problem_solving",Bachelors,2,Data Analyst
2207,"agile, mongodb, photoshop",Bachelors,7,Project Manager
2208,"scala, statistics, terraform, typescript, vue",Bachelors,9,Frontend Developer
2209,"aws, blockchain, css, powerbi, redis, selenium",PhD,13,Full Stack Developer
2210,"azure, bash, redis",Bootcamp,12,Systems Administrator
2211,"angular, azure, computer_vision, firebase, go, html, javascript",Bachelors,8,Frontend Developer
2212,"apache_spark, express, graphql, php, postgresql, technical_writing",Bootcamp,8,Backend Developer
2213,"blockchain, devops, nlp",Bachelors,4,Data Scientist
2214,"gitlab, kafka, mongodb, powerbi",Bachelors,2,Database Administrator
2215,"cpp, dotnet, express, firebase, kotlin, postgresql, pytorch",Bachelors,8,Backend Developer
2216,"css, django, terraform",Bachelors,6,DevOps Engineer
2217,"communication, jira, kubernetes, machine_learning, pandas, ruby",Bootcamp,10,Product Manager
2218,"deep_learning, express, gcp, sql, tableau",PhD,11,Backend Developer
2219,"azure, figma, kafka, php, powerbi, project_management, react",Bachelors,15,Full Stack Developer
2220,"blockchain, data_analysis, jenkins, linux, redis, ruby, selenium",Bachelors,14,DevOps Engineer
2221,"ethereum, kotlin, nodejs, scala",Masters,0,Full Stack Developer
2222,"data_analysis, firebase, kubernetes, python, ruby, sql",Bachelors,2,Backend Developer
2223,"apache_spark, bash, grpc, python, sql, typescript",Masters,1,Backend Developer
2224,"cicd, hadoop, laravel, mongodb, mongodb_atlas, rest_apis, rust, ux_research",Bootcamp,11,Software Developer
2225,"aws, cicd, html, photoshop, spring, supabase, vue",Bachelors,6,Full Stack Developer
2226,"html, linux, microservices, testing",Bootcamp,4,Software Developer
2227,"photoshop, postgresql, sql, ux_research",Bachelors,9,Database Administrator
2228,"figma, illustrator, kubernetes, networking, numpy, react, sql",Bachelors,9,Full Stack Developer
